primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Historical Roasts,2019,2019,Comedy,5.4,1820,43fd1d07-9254-48d6-bed0-74b2314f76c0,historicalroasts
Nouba,2019,2020,"Crime,Drama,Music",9.0,1819,f4c2b051-7eed-4175-8bcb-2934eac1f3dc,nouba
Sasural Simar Ka,2011,2018,"Drama,Fantasy",1.0,1819,359246b7-7927-4f46-9307-b180d3cbed3e,sasuralsimarka
One Step Beyond,1959,1961,"Drama,Fantasy,Horror",7.8,1819,44e5bba5-ba98-471d-b8ab-4952930b98dc,onestepbeyond
House Hunters,1999,\N,Reality-TV,6.7,1819,bbe08020-34c0-4e43-9810-f1ad6d5dd014,househunters
Strictly Come Dancing,2004,\N,"Music,Reality-TV",6.1,1818,7fa03a4e-f1d8-4077-ac08-ab609a87f999,strictlycomedancing
Wedding Season,2022,2022,"Action,Adventure,Comedy",6.5,1818,5efe47f3-9e18-452f-90c4-9282f5c1e176,weddingseason
Flodder,1993,1999,Comedy,6.8,1818,13516037-db29-4a16-9a68-05a547c1fe3a,flodder
The Layover,2011,2013,Documentary,8.2,1817,b6060426-8765-473e-b033-9da6ae62ced0,thelayover
Hi-de-Hi!,1980,1988,Comedy,6.7,1817,b7f7bf76-be15-4ddc-b106-2cd87f2a0e53,hidehi
Guiding Light,1952,2009,"Drama,Romance",6.5,1817,1dccf7ce-a5db-46aa-957a-d6a6df967881,guidinglight
Crni Gruja,2003,2007,Comedy,8.3,1816,43ae2237-4726-40ec-a823-dd4548233ce3,crnigruja
A Certain Scientific Railgun,2009,2020,"Action,Animation,Comedy",7.5,1815,cb22dd4e-f41f-4b47-a8f7-60b35ca4bb7d,acertainscientificrailgun
Escape to the Chateau,2016,2022,Reality-TV,8.6,1815,39820ec1-a26a-4990-b896-5e2442ebea53,escapetothechateau
Still Open All Hours,2013,2019,Comedy,6.4,1815,a5b76781-0788-49dd-a566-354a7cab5f4e,stillopenallhours
Carter,2018,2019,"Comedy,Crime,Drama",6.6,1815,41c87bc8-181a-47d7-a491-20665565f074,carter
"Selo gori, a baba se ceslja",2007,2017,"Comedy,Drama,Romance",5.6,1815,2778df29-10f0-4473-936a-77b578164fc6,selogoriababaseceslja
101 Dalmatians: The Series,1997,1998,"Adventure,Animation,Comedy",6.1,1814,07afa0e4-ae8f-4632-addd-3ece3f558289,101dalmatianstheseries
Wakfu,2008,2017,"Action,Adventure,Animation",8.2,1814,7cc554bd-9240-485f-a060-f429f2f84f66,wakfu
1pm Daily Update,2020,\N,News,9.3,1814,c0586e64-9aac-4be3-a396-b7c98258e54f,1pmdailyupdate
Yonderland,2013,2016,"Comedy,Fantasy",7.8,1814,30ebc857-7cc1-4cec-914a-667b7774c86a,yonderland
Metal Hurlant Chronicles,2012,2014,"Action,Sci-Fi",5.7,1813,8cc5cd2a-2d50-4a3a-9c6e-92b552c86c73,metalhurlantchronicles
Bolek i Lolek,1963,1986,"Adventure,Animation,Comedy",7.0,1813,ce09b43c-46c9-4d86-9336-ddf0ebc78367,bolekilolek
Raised by Wolves,2013,2016,Comedy,8.2,1813,77d3e2fa-48b7-494a-85ca-6d35f2e59f96,raisedbywolves
Funny Woman,2023,\N,Comedy,7.4,1812,4ff570ea-018a-4a18-b645-25144b0d065a,funnywoman
X,2001,2002,"Action,Animation,Drama",7.5,1812,92b7879b-eb7d-49d3-af63-0563c4280e60,x
Yo Gabba Gabba!,2007,2020,"Comedy,Drama,Family",6.9,1811,cf250e11-77a4-484e-8ca2-536b527d345e,yogabbagabba
The Hitchhiker,1983,1991,"Drama,Horror,Mystery",6.8,1811,4ce858cb-11b4-44d8-aa80-fc716ed3bf35,thehitchhiker
Foodie Love,2019,\N,Drama,7.7,1810,067d2c60-6bfd-4650-a9aa-0d8bd69f3fa9,foodielove
Bnei Aruba,2013,2016,"Drama,Thriller",7.5,1810,687de32a-e022-48a6-aa59-2952ae29565e,bneiaruba
The Level,2016,2017,"Crime,Drama,Thriller",6.9,1809,56ff0b54-71c2-4098-bd14-a6de3affb087,thelevel
Riches,2022,\N,Drama,7.2,1809,5c18b540-f551-4b5c-bb10-1aab1cac7cc7,riches
The Scooby and Scrappy-Doo Puppy Hour,1982,1982,"Adventure,Animation,Comedy",6.6,1807,32d1906a-01f0-4d94-a05e-14c6b63548a0,thescoobyandscrappydoopuppyhour
The Crystal Maze,1990,2020,"Adventure,Comedy,Family",8.1,1807,c374bc7f-8575-4ce9-9bb9-a68a92b86e5a,thecrystalmaze
Silver Spoon,2014,\N,"Crime,Drama",7.6,1807,d7317dac-29c6-4452-b7fa-8e53597cff7d,silverspoon
Último a Sair,2011,2011,Comedy,8.9,1806,b6f0232f-ba3d-48a5-96d0-8f89c23f0f27,ltimoasair
Takeshi's Castle,1986,1989,"Action,Adventure,Comedy",8.2,1806,a66b9289-9a71-490f-b18b-2696bed7797c,takeshiscastle
Naked and Afraid XL,2015,\N,"Adventure,Game-Show,Horror",7.3,1805,2ff0ec79-49e7-4d8a-8d50-9b0f0211350a,nakedandafraidxl
Londra Merkez,2018,\N,"Comedy,Sport",9.8,1804,e19b8a26-d8ed-4607-88c3-74c3a2e0d351,londramerkez
Bloom,2019,2020,"Drama,Mystery,Sci-Fi",6.7,1804,ea54e2f6-acff-403c-9d45-d171c6581a54,bloom
Bad Guys,2014,2014,"Action,Crime,Thriller",7.8,1804,283804a8-5fd3-40f8-a122-3a49ad8d7bc7,badguys
Shrimaan Shrimati,1994,\N,Comedy,8.7,1802,3ed7e4b0-0e1e-48d9-ac68-45946470e7d4,shrimaanshrimati
The Weakest Link,2000,2017,Game-Show,5.6,1802,1c1d89d2-661b-46ce-8b6f-654d6913c2b9,theweakestlink
Rupert,1991,2020,"Adventure,Animation,Family",6.9,1801,d27be37f-6f8d-4e9c-944c-25158bf378cd,rupert
The Kingdom,2021,2023,"Crime,Drama",6.4,1800,a59ffc07-f990-4eea-92f7-263d9da04409,thekingdom
Fred,2008,2014,Comedy,1.7,1800,80ac9e4b-083c-43e1-9be1-32e1c7aae70e,fred
Strike the Blood,2013,2022,"Action,Animation,Comedy",6.9,1800,7dda6ad4-0d2a-4c0f-8e3f-66448e18405a,striketheblood
Bloods,2021,2022,Comedy,6.8,1799,e66af6bd-b406-4207-845c-9c4b3c90d7c0,bloods
The Last Detective,2003,2007,"Comedy,Crime,Drama",7.8,1799,6b7db6bc-c2b3-49be-a7f9-823ef7668b2a,thelastdetective
Greg the Bunny,2002,2004,Comedy,7.5,1799,0c69556e-e97d-4c70-9040-3d94e1132c7f,gregthebunny
Spider-Man,1981,1982,"Action,Adventure,Animation",6.9,1799,c9cafa72-8025-4fda-a670-f67e4bd416ee,spiderman
Still Star-Crossed,2017,2017,"Drama,History",5.9,1798,c8b0217a-c773-4be7-a45d-80e975f0ba2d,stillstarcrossed
Dope,2017,\N,"Crime,Documentary",7.3,1797,4f4e2011-4111-4dfc-8f11-b5f7cb0dc609,dope
Ant & Dec's Saturday Night Takeaway,2002,2023,"Comedy,Game-Show",6.1,1796,c2be1987-cd88-473d-82d8-5b7cbe663b4f,antdecssaturdaynighttakeaway
Sthlm Requiem,2018,\N,"Crime,Drama,Mystery",6.6,1796,f3c22cc8-61ec-40e5-89a1-c32f928897c0,sthlmrequiem
Another Love,2023,\N,"Crime,Drama,Romance",7.1,1795,1acb26e3-6e41-4743-8984-28e8295ee175,anotherlove
Sapphire & Steel,1979,1982,"Mystery,Sci-Fi,Thriller",7.9,1795,c93f64b7-93c5-4b6e-8aa0-baf1c166a4a3,sapphiresteel
Sungkyunkwan Scandal,2010,2010,"Comedy,Drama,Romance",7.8,1794,da736d60-c48d-4831-bf99-f1ae8b9069f3,sungkyunkwanscandal
Mountain Monsters,2013,\N,Reality-TV,5.3,1793,c4061149-a465-4a8f-b25c-7233b46340f3,mountainmonsters
Everyone Is Doing Great,2018,\N,Comedy,7.0,1792,9cb584ce-2422-4ee5-bc3f-8bfff96632df,everyoneisdoinggreat
