primary_title,start_year,end_year,genres,average_rating,num_votes,show_id,normalized_title
Let's Stay Together,2011,2014,"Comedy,Romance",6.1,580,8451ef7a-9e1e-4b2a-ae01-f8bc685451e0,letsstaytogether
At Last the 1948 Show,1967,1967,Comedy,7.7,580,12dd9e32-b922-4442-a529-3bddea054063,atlastthe1948show
Grey's Anatomy: The Webisodes,2009,\N,Drama,7.3,580,d5bda614-afa9-42d5-93db-1fad632b09b8,greysanatomythewebisodes
Crime Scene Kitchen,2021,\N,Reality-TV,7.6,580,85ea5f18-43e6-4e69-939f-1a255cbabdbf,crimescenekitchen
De 12 van Schouwendam,2019,2019,"Drama,Mystery,Thriller",7.4,580,1a1e6be1-1a6b-4045-827f-4c8265cfb1e0,de12vanschouwendam
Dating in the Kitchen,2020,2020,"Comedy,Drama,Romance",7.7,580,b21a38ba-b554-4450-b55a-cbd3ccdecd5d,datinginthekitchen
Attenborough: 60 Years in the Wild,2012,2012,Documentary,8.5,579,e7ba0846-5dd2-4b74-b73e-ba698dd41cd7,attenborough60yearsinthewild
Saladin: The Conquerer of Jerusalem,2023,\N,"Action,History",4.0,579,1ca98360-8b1d-4d28-b2bb-ba4f3cbbe8a2,saladintheconquererofjerusalem
SportsNation,2009,\N,"News,Sport,Talk-Show",6.6,579,534808d2-17b5-4fa6-9b70-6f21b8572f85,sportsnation
Love Is in the Air,2010,2013,Romance,4.1,579,22da5a25-91c5-43c2-9824-aa7cb374c0c5,loveisintheair
Pretty Boy,2013,2014,"Comedy,Romance",6.3,579,c1fa7dc3-151c-4770-875a-5b443e37978e,prettyboy
Pan Tau,1970,1978,"Adventure,Comedy,Drama",7.4,579,edab6565-fc5b-4d2f-9b6e-0b1f44653860,pantau
"Hey, Vern, It's Ernest!",1988,1988,"Comedy,Family",7.1,579,2a2181a7-4633-4170-be38-6b3554d2e334,heyvernitsernest
Digimon Savers,2006,2007,"Action,Adventure,Animation",6.2,579,36c92e5e-5b4e-4cbd-9343-57cc0d230fa4,digimonsavers
The Devil's Ride,2012,\N,Reality-TV,3.0,579,137e0d90-5ef9-4421-b42d-7bbe8b7d1ca7,thedevilsride
Undead Murder Farce,2023,2023,"Animation,Drama,Fantasy",7.6,579,689b97a5-c13e-4c9a-b604-14c8ad588f30,undeadmurderfarce
Gamesmaster,1992,1998,"Family,Game-Show",7.8,579,632d0924-3214-413e-b231-3ef3dfd000f5,gamesmaster
Shut Up Flower Boy Band,2012,2012,"Drama,Music,Romance",7.8,579,f05fc73c-b631-4fc4-9b13-9b6f3a15df18,shutupflowerboyband
Tree with Deep Roots,2011,2011,Drama,8.2,578,25633ac5-0b5a-4d65-85c7-ddd7d57f8293,treewithdeeproots
Work of Art: The Next Great Artist,2010,\N,Reality-TV,7.5,578,9fead31e-e22e-4a5a-b8d7-a34d2f6ae1b9,workofartthenextgreatartist
13 posterunek 2,2000,\N,Comedy,6.6,578,42d104c3-3ff8-4191-b725-5c6c265cfa9c,13posterunek2
Boss & Me,2014,2014,Romance,7.2,578,e0b2f806-87b6-48e4-bb52-5c030b94f9a7,bossme
My Engineer,2020,\N,Romance,7.2,578,a99bd900-b5ed-4c67-bdda-6ae2edfb8885,myengineer
Jesus & Josefine,2003,2003,"Family,Sci-Fi",6.2,578,89d1ebaf-ff7c-48db-9e37-9710ca576a35,jesusjosefine
Scent of a Woman,2011,2011,"Drama,Romance",7.8,578,51c81233-42b0-4ca0-81f2-31b9e82f98dc,scentofawoman
15/Love,2004,2006,"Comedy,Drama,Family",6.6,578,724513c5-baf5-4aae-913a-7d2e2714f9f3,15love
Take care of Zizi,2021,2021,"Comedy,Drama,Family",8.2,578,49aa3e95-54a9-4932-b2e2-a60cb4a2aa4b,takecareofzizi
Stars Align,2019,2019,"Animation,Drama,Sport",7.4,577,bfec005d-a982-4010-ae5e-9fcda468dba2,starsalign
Hancock's Half Hour,1956,1960,Comedy,8.5,577,829cf13c-19b3-4c0f-a5e0-2d8522db144f,hancockshalfhour
The Colgate Comedy Hour,1950,1955,"Comedy,Romance",7.8,577,ff6fb3e8-b1dd-48e3-a8c2-aa689f61c892,thecolgatecomedyhour
The Power of Parker,2023,\N,Comedy,6.7,577,e37a1bf5-40bc-407a-b549-a8d3f9c78167,thepowerofparker
Toxic Crusaders,1991,1993,"Action,Animation,Comedy",6.5,577,97e40902-a24c-481f-8de8-e9a879060ac9,toxiccrusaders
